date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:48	42657/42657	---M--	200	added ('OK')	image/jpeg	etag:%2257aca4aa-a6a1%22	http://wp1.themexlab.com/html2/edinburgh/images/resource/6.jpg	wp1.themexlab.com/html2/edinburgh/images/resource/6.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:48	13181/13181	---M--	200	added ('OK')	image/png	etag:%2257aca594-337d%22	http://wp1.themexlab.com/html2/edinburgh/images/sponsors/2.png	wp1.themexlab.com/html2/edinburgh/images/sponsors/2.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:50	11686/11686	---M--	200	added ('OK')	image/png	etag:%2257aca61a-2da6%22	http://wp1.themexlab.com/html2/edinburgh/images/sponsors/4.png	wp1.themexlab.com/html2/edinburgh/images/sponsors/4.png	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:52	36868/36868	---MCZ	200	added ('OK')	application/javascript	etag:W/%225695df76-9004%22	http://wp1.themexlab.com/html2/edinburgh/assets/bootstrap/js/bootstrap.min.js	wp1.themexlab.com/html2/edinburgh/assets/bootstrap/js/bootstrap.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:53	6299/6299	---MCZ	200	added ('OK')	application/javascript	etag:W/%225636565e-189b%22	http://wp1.themexlab.com/html2/edinburgh/assets/wow.js	wp1.themexlab.com/html2/edinburgh/assets/wow.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:54	97179/97179	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257b52aa0-17b9b%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery/jquery-1.12.3.min.js	wp1.themexlab.com/html2/edinburgh/assets/jquery/jquery-1.12.3.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:55	40401/40401	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253acb20e-9dd1%22	http://wp1.themexlab.com/html2/edinburgh/assets/owl.carousel-2/owl.carousel.min.js	wp1.themexlab.com/html2/edinburgh/assets/owl.carousel-2/owl.carousel.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:55	19359/19359	---MCZ	200	added ('OK')	application/javascript	etag:W/%22533f832e-4b9f%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery.bxslider/jquery.bxslider.min.js	wp1.themexlab.com/html2/edinburgh/assets/jquery.bxslider/jquery.bxslider.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:57	21090/21090	---MCZ	200	added ('OK')	application/javascript	etag:W/%225593119a-5262%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery-validation/dist/jquery.validate.min.js	wp1.themexlab.com/html2/edinburgh/assets/jquery-validation/dist/jquery.validate.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:58	65907/65907	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257b7e19c-10173%22	http://wp1.themexlab.com/html2/edinburgh/assets/gmaps.js	wp1.themexlab.com/html2/edinburgh/assets/gmaps.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:23:59	28932/28932	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255b8c9de-7104%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery.mixitup.min.js	wp1.themexlab.com/html2/edinburgh/assets/jquery.mixitup.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:00	5057/5057	---MCZ	200	added ('OK')	application/javascript	etag:W/%22578a2c22-13c1%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery.countdown.min.js	wp1.themexlab.com/html2/edinburgh/assets/jquery.countdown.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:01	40863/40863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255b8130a-9f9f%22	http://wp1.themexlab.com/html2/edinburgh/assets/isotope.pkgd.min.js	wp1.themexlab.com/html2/edinburgh/assets/isotope.pkgd.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:02	450622/450622	---M--	200	added ('OK')	image/jpeg	etag:%2257b40184-6e03e%22	http://wp1.themexlab.com/html2/edinburgh/images/main-slider/2.jpg	wp1.themexlab.com/html2/edinburgh/images/main-slider/2.jpg	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:05	47204/47204	---MCZ	200	added ('OK')	application/javascript	etag:W/%22565871b0-b864%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/jquery.themepunch.revolution.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/jquery.themepunch.revolution.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:06	6790/6790	---MCZ	200	added ('OK')	application/javascript	etag:W/%22565620d0-1a86%22	http://wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.actions.min.js	wp1.themexlab.com/html2/edinburgh/assets/revolution/js/extensions/revolution.extension.actions.min.js	(from http://wp1.themexlab.com/html2/edinburgh/)
14:24:06	470591/470591	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573b242e-72e3f%22	http://wp1.themexlab.com/html2/edinburgh/assets/jquery-ui-1.11.4/jquery-ui.js	wp1.themexlab.com/html2/edinburgh/assets/jquery-ui-1.11.4/jquery-ui.js	(from http://wp1.themexlab.com/html2/edinburgh/)
